id,label_true_k122,title,KMeans_artm_k37,KMeans_tfidf_k37,KMeans_w2v_k37,Birch_artm_k122,Birch_w2v_k38,Birch_tfidf_k268,AffinityPropagation_artm_k660,AffinityPropagation_tfidf_k1749,AffinityPropagation_w2v_k469,x,y,z
25106931,107,Digital Account Manager,27,28,32,67,5,5,56,1648,417,0.05820549443274484,0.0160638632839744,-0.029060062678730497
25207926,107,Контент-маркетолог / контент-менеджер,27,28,32,67,5,5,56,1698,417,0.05672052654890678,0.02766564106150757,-0.02694482291380796
27562295,107,Контент-редактор,27,23,32,69,5,5,56,1698,446,0.05526370139587615,0.019589597556870127,-0.018413565785483595
24707050,107,Интернет-маркетолог,7,28,32,68,5,5,590,1489,417,0.07637408926571332,0.037314549195424776,-0.033844951436281114
24679939,107,Администратор интернет-магазина,7,28,32,68,5,5,469,1649,417,0.06673902500136415,0.02552513298417071,-0.03152362938219633
24094231,107,SEO специалист в Digital агентство,27,28,32,67,5,5,56,1447,417,0.0912393339050723,0.03480177356164922,-0.0438448353249936
24258281,107,Контент-маркетолог / E-mail-маркетолог,7,28,32,68,5,5,455,1648,417,0.07113642402474019,0.022724112738158195,-0.0404156416566782
24260833,107,Youtube специалист,7,23,32,68,5,1,469,1648,417,0.02260253868137387,0.005550475906138186,-0.008688601024777164
20381037,107,E-mail маркетолог,7,23,12,68,5,5,581,1697,444,0.023759239793227346,0.005882515981153796,-0.013022558802344727
20418470,107,Интернет-маркетолог,7,28,12,70,5,5,629,1649,444,0.07091536515640581,0.010675831456857006,-0.024326355805796857
23254739,107,Интернет-маркетолог,7,28,12,70,5,5,652,1728,444,0.08915902720210606,0.01623488379208158,-0.041270648978683315
23348759,107,Интернет-маркетолог,7,28,12,70,5,5,652,1728,444,0.07001403645234423,0.01088930591369675,-0.028745439225437354
23308725,107,Интернет-маркетолог,27,28,12,67,5,5,15,1728,444,0.10980955445583346,0.021582669657655318,-0.052098171242256054
23049512,107,Интернет-маркетолог,7,28,12,67,5,5,630,1747,444,0.10277682626912929,0.013365810600179584,-0.04560095705873502
21135792,107,Помощник SEO-специалиста,27,28,12,67,5,5,56,1447,372,0.08865617197993172,0.025298167858846827,-0.04166522199460507
